Total time: 8.583711s

p[80].vx: -1063.297	p[80].vy: -2461.629	p[80].vz: -768.762

p[81].x: 66.750	p[81].y: -94.830	p[81].z: -241.578
p[81].vx: 742.102	p[81].vy: -1054.082	p[81].vz: -2685.483

p[82].x: 36.519	p[82].y: 194.246	p[82].z: 8.621
p[82].vx: 406.226	p[82].vy: 2160.600	p[82].vz: 95.890

p[83].x: -118.943	p[83].y: 75.633	p[83].z: 168.172
p[83].vx: -1322.420	p[83].vy: 841.132	p[83].vz: 1870.060

p[84].x: -12.844	p[84].y: -7.048	p[84].z: 33.266
p[84].vx: -144.924	p[84].vy: -78.777	p[84].vz: 376.054

p[85].x: -38.972	p[85].y: 111.251	p[85].z: -29.212
p[85].vx: -433.525	p[85].vy: 1239.653	p[85].vz: -324.948

p[86].x: 5.007	p[86].y: -160.203	p[86].z: -99.893
p[86].vx: 55.944	p[86].vy: -1782.673	p[86].vz: -1111.172

p[87].x: 84.909	p[87].y: 203.244	p[87].z: -107.271
p[87].vx: 944.054	p[87].vy: 2259.158	p[87].vz: -1192.403

p[88].x: 71.859	p[88].y: 181.048	p[88].z: 112.944
p[88].vx: 798.989	p[88].vy: 2012.646	p[88].vz: 1255.208

p[89].x: 87.065	p[89].y: -166.816	p[89].z: 24.759
p[89].vx: 968.615	p[89].vy: -1855.955	p[89].vz: 275.254

p[90].x: 163.249	p[90].y: -19.038	p[90].z: 186.544
p[90].vx: 1815.385	p[90].vy: -211.381	p[90].vz: 2073.803

p[91].x: -67.112	p[91].y: -75.846	p[91].z: 201.292
p[91].vx: -745.948	p[91].vy: -842.964	p[91].vz: 2237.284

p[92].x: -11.982	p[92].y: 9.695	p[92].z: -2.580
p[92].vx: -113.501	p[92].vy: 104.976	p[92].vz: -33.725

p[93].x: -189.644	p[93].y: -23.214	p[93].z: 65.339
p[93].vx: -2109.537	p[93].vy: -258.051	p[93].vz: 726.424

p[94].x: 87.111	p[94].y: 85.050	p[94].z: 84.452
p[94].vx: 969.932	p[94].vy: 947.053	p[94].vz: 940.287

p[95].x: 23.056	p[95].y: 78.875	p[95].z: -209.889
p[95].vx: 256.140	p[95].vy: 876.640	p[95].vz: -2333.776

p[96].x: 48.660	p[96].y: 214.678	p[96].z: -42.150
p[96].vx: 541.192	p[96].vy: 2387.520	p[96].vz: -468.725

p[97].x: -25.601	p[97].y: -20.059	p[97].z: -1.649
p[97].vx: -291.421	p[97].vy: -227.614	p[97].vz: -16.120

p[98].x: 41.576	p[98].y: -19.457	p[98].z: 117.751
p[98].vx: 463.104	p[98].vy: -216.503	p[98].vz: 1311.315

p[99].x: -107.640	p[99].y: 50.408	p[99].z: 177.697
p[99].vx: -1197.175	p[99].vy: 560.516	p[99].vz: 1975.664

p[100].x: -85.941	p[100].y: 87.723	p[100].z: 20.080
p[100].vx: -957.368	p[100].vy: 977.540	p[100].vz: 223.541

p[101].x: -2.089	p[101].y: 4.859	p[101].z: 0.228
p[101].vx: -19.845	p[101].vy: 41.323	p[101].vz: -2.274

p[102].x: -111.520	p[102].y: -5.472	p[102].z: 160.036
p[102].vx: -1239.954	p[102].vy: -60.658	p[102].vz: 1779.415

p[103].x: 12.863	p[103].y: -25.705	p[103].z: -7.726
p[103].vx: 147.248	p[103].vy: -292.144	p[103].vz: -87.233

p[104].x: -0.704	p[104].y: 51.197	p[104].z: -106.560
p[104].vx: -11.828	p[104].vy: 564.725	p[104].vz: -1188.327

p[105].x: -115.219	p[105].y: 208.326	p[105].z: -15.115
p[105].vx: -1280.722	p[105].vy: 2316.236	p[105].vz: -168.005

p[106].x: -8.347	p[106].y: 203.957	p[106].z: 172.505
p[106].vx: -92.733	p[106].vy: 2267.713	p[106].vz: 1917.470

p[107].x: -131.357	p[107].y: 191.072	p[107].z: 10.884
p[107].vx: -1460.521	p[107].vy: 2124.704	p[107].vz: 121.064

p[108].x: -70.270	p[108].y: 94.695	p[108].z: -136.352
p[108].vx: -781.792	p[108].vy: 1053.692	p[108].vz: -1517.519

p[109].x: 80.452	p[109].y: 158.509	p[109].z: 127.685
p[109].vx: 894.824	p[109].vy: 1763.069	p[109].vz: 1419.980

p[110].x: -20.732	p[110].y: 107.589	p[110].z: 56.935
p[110].vx: -231.040	p[110].vy: 1198.956	p[110].vz: 634.464

p[111].x: -77.331	p[111].y: -29.473	p[111].z: 63.431
p[111].vx: -862.142	p[111].vy: -328.441	p[111].vz: 707.446

p[112].x: -35.661	p[112].y: -23.624	p[112].z: -60.756
p[112].vx: -396.389	p[112].vy: -262.635	p[112].vz: -675.405

p[113].x: -43.026	p[113].y: -56.431	p[113].z: -121.526
p[113].vx: -478.814	p[113].vy: -628.234	p[113].vz: -1353.417

p[114].x: 187.228	p[114].y: -12.042	p[114].z: 177.275
p[114].vx: 2081.601	p[114].vy: -133.743	p[114].vz: 1970.644

p[115].x: -17.768	p[115].y: -8.587	p[115].z: 209.486
p[115].vx: -197.392	p[115].vy: -95.292	p[115].vz: 2329.545

p[116].x: -111.234	p[116].y: 74.375	p[116].z: 40.152
p[116].vx: -1236.396	p[116].vy: 826.756	p[116].vz: 446.337

p[117].x: 14.799	p[117].y: 53.677	p[117].z: 183.721
p[117].vx: 164.677	p[117].vy: 596.860	p[117].vz: 2041.987

p[118].x: 97.199	p[118].y: 183.655	p[118].z: 29.897
p[118].vx: 1081.110	p[118].vy: 2042.977	p[118].vz: 332.684

p[119].x: -24.715	p[119].y: -36.232	p[119].z: 26.304
p[119].vx: -277.940	p[119].vy: -407.821	p[119].vz: 295.748

p[120].x: 102.121	p[120].y: -101.107	p[120].z: -1.131
p[120].vx: 1137.052	p[120].vy: -1125.833	p[120].vz: -12.772

p[121].x: 97.501	p[121].y: -18.892	p[121].z: -193.085
p[121].vx: 1083.939	p[121].vy: -209.826	p[121].vz: -2146.448

p[122].x: -86.849	p[122].y: 28.262	p[122].z: -40.153
p[122].vx: -965.157	p[122].vy: 313.861	p[122].vz: -446.468

p[123].x: -158.889	p[123].y: -153.254	p[123].z: 39.590
p[123].vx: -1766.202	p[123].vy: -1703.651	p[123].vz: 439.816

p[124].x: 176.976	p[124].y: -10.195	p[124].z: -58.916
p[124].vx: 1967.249	p[124].vy: -113.910	p[124].vz: -655.089

p[125].x: 27.479	p[125].y: -69.806	p[125].z: -62.102
p[125].vx: 306.487	p[125].vy: -779.228	p[125].vz: -693.187

p[126].x: -60.439	p[126].y: -21.834	p[126].z: -152.607
p[126].vx: -671.810	p[126].vy: -242.587	p[126].vz: -1696.748

p[127].x: 174.745	p[127].y: 14.020	p[127].z: 1.362
p[127].vx: 1944.622	p[127].vy: 156.037	p[127].vz: 14.889

p[128].x: -27.463	p[128].y: 46.710	p[128].z: -121.966
p[128].vx: -305.617	p[128].vy: 519.957	p[128].vz: -1358.546

p[129].x: -115.065	p[129].y: -15.855	p[129].z: 173.324
p[129].vx: -1279.270	p[129].vy: -175.911	p[129].vz: 1927.824

p[130].x: 23.025	p[130].y: 124.952	p[130].z: 151.282
p[130].vx: 256.233	p[130].vy: 1389.994	p[130].vz: 1682.923

p[131].x: -20.927	p[131].y: 64.873	p[131].z: -179.072
p[131].vx: -232.580	p[131].vy: 721.373	p[131].vz: -1992.320

p[132].x: 2.067	p[132].y: 127.780	p[132].z: 158.624
p[132].vx: 23.051	p[132].vy: 1420.509	p[132].vz: 1763.129

p[133].x: 59.331	p[133].y: 126.748	p[133].z: -59.069
p[133].vx: 660.437	p[133].vy: 1411.166	p[133].vz: -657.462

p[134].x: -56.769	p[134].y: -21.767	p[134].z: 230.487
p[134].vx: -631.043	p[134].vy: -241.927	p[134].vz: 2561.619

