Total time: 3.116301s

p[93].x: 5.813	p[93].y: 0.828	p[93].z: 3.420
p[93].vx: 59.591	p[93].vy: 7.924	p[93].vz: 34.802

p[94].x: -1.607	p[94].y: -5.477	p[94].z: -0.720
p[94].vx: -17.310	p[94].vy: -48.593	p[94].vz: -11.005

p[95].x: 3.317	p[95].y: 4.863	p[95].z: -1.878
p[95].vx: 35.466	p[95].vy: 50.568	p[95].vz: -23.999

p[96].x: -1.122	p[96].y: -7.006	p[96].z: -3.213
p[96].vx: -15.241	p[96].vy: -68.404	p[96].vz: -30.477

p[97].x: -3.945	p[97].y: -3.599	p[97].z: -3.013
p[97].vx: -57.672	p[97].vy: -49.485	p[97].vz: -28.253

p[98].x: 5.561	p[98].y: -2.118	p[98].z: -7.905
p[98].vx: 57.883	p[98].vy: -20.614	p[98].vz: -81.153

p[99].x: 4.756	p[99].y: 0.076	p[99].z: 1.222
p[99].vx: 47.621	p[99].vy: 6.125	p[99].vz: 4.744

p[100].x: -3.586	p[100].y: -6.062	p[100].z: 0.308
p[100].vx: -35.594	p[100].vy: -63.649	p[100].vz: -2.685

p[101].x: -2.341	p[101].y: 6.803	p[101].z: 0.056
p[101].vx: -21.783	p[101].vy: 65.038	p[101].vz: -3.342

p[102].x: 3.260	p[102].y: -2.205	p[102].z: -6.624
p[102].vx: 29.918	p[102].vy: -22.332	p[102].vz: -65.904

p[103].x: -2.419	p[103].y: -1.146	p[103].z: -2.868
p[103].vx: -27.174	p[103].vy: -7.859	p[103].vz: -27.558

p[104].x: -1.488	p[104].y: 7.394	p[104].z: 5.399
p[104].vx: -17.019	p[104].vy: 75.583	p[104].vz: 55.738

p[105].x: -2.203	p[105].y: -3.685	p[105].z: -5.066
p[105].vx: -24.441	p[105].vy: -38.068	p[105].vz: -45.287

p[106].x: -1.028	p[106].y: -4.231	p[106].z: -1.241
p[106].vx: -11.136	p[106].vy: -39.661	p[106].vz: -9.686

p[107].x: -4.197	p[107].y: 0.415	p[107].z: -4.946
p[107].vx: -39.282	p[107].vy: 1.859	p[107].vz: -49.883

p[108].x: -4.742	p[108].y: 3.212	p[108].z: -5.380
p[108].vx: -49.832	p[108].vy: 34.488	p[108].vz: -53.704

p[109].x: 5.378	p[109].y: 2.982	p[109].z: 4.926
p[109].vx: 59.759	p[109].vy: 33.421	p[109].vz: 50.772

p[110].x: 2.164	p[110].y: 5.914	p[110].z: -4.567
p[110].vx: 18.870	p[110].vy: 65.365	p[110].vz: -48.246

p[111].x: -1.844	p[111].y: -2.293	p[111].z: -5.931
p[111].vx: -26.144	p[111].vy: -24.286	p[111].vz: -57.283

p[112].x: 1.080	p[112].y: 1.030	p[112].z: 0.708
p[112].vx: 6.813	p[112].vy: 10.721	p[112].vz: 4.966

p[113].x: -1.535	p[113].y: 5.763	p[113].z: 9.431
p[113].vx: -15.481	p[113].vy: 61.815	p[113].vz: 99.648

p[114].x: 2.964	p[114].y: -4.414	p[114].z: 5.071
p[114].vx: 33.660	p[114].vy: -46.348	p[114].vz: 51.962

p[115].x: -3.432	p[115].y: 1.332	p[115].z: -7.270
p[115].vx: -37.272	p[115].vy: 10.923	p[115].vz: -71.093

p[116].x: -3.241	p[116].y: -3.565	p[116].z: -1.811
p[116].vx: -33.854	p[116].vy: -35.047	p[116].vz: -19.264

p[117].x: -2.912	p[117].y: 3.187	p[117].z: -4.548
p[117].vx: -25.251	p[117].vy: 30.335	p[117].vz: -42.916

p[118].x: 3.728	p[118].y: 5.121	p[118].z: 2.746
p[118].vx: 41.575	p[118].vy: 49.365	p[118].vz: 32.910

p[119].x: -5.476	p[119].y: -4.032	p[119].z: 4.361
p[119].vx: -66.861	p[119].vy: -49.036	p[119].vz: 46.904

p[120].x: -0.282	p[120].y: 5.471	p[120].z: -1.355
p[120].vx: -8.569	p[120].vy: 56.700	p[120].vz: -10.701

p[121].x: -0.475	p[121].y: -1.288	p[121].z: -3.458
p[121].vx: -10.808	p[121].vy: -10.849	p[121].vz: -29.414

p[122].x: -0.235	p[122].y: 5.339	p[122].z: -4.646
p[122].vx: -2.754	p[122].vy: 52.258	p[122].vz: -47.898

p[123].x: -0.384	p[123].y: 2.400	p[123].z: -2.143
p[123].vx: -11.005	p[123].vy: 23.553	p[123].vz: -20.905

p[124].x: -4.600	p[124].y: 0.525	p[124].z: 2.247
p[124].vx: -47.445	p[124].vy: 3.461	p[124].vz: 16.287

p[125].x: 5.975	p[125].y: -4.549	p[125].z: -3.585
p[125].vx: 60.420	p[125].vy: -51.137	p[125].vz: -34.059

p[126].x: -0.431	p[126].y: -6.165	p[126].z: 3.046
p[126].vx: -4.696	p[126].vy: -62.572	p[126].vz: 29.500

p[127].x: -6.823	p[127].y: -0.028	p[127].z: 0.603
p[127].vx: -65.741	p[127].vy: 2.563	p[127].vz: 6.508

p[128].x: 2.319	p[128].y: 1.775	p[128].z: 9.978
p[128].vx: 28.527	p[128].vy: 20.471	p[128].vz: 102.058

p[129].x: 0.865	p[129].y: -2.678	p[129].z: -3.508
p[129].vx: 7.472	p[129].vy: -26.062	p[129].vz: -32.670

p[130].x: 2.262	p[130].y: 0.960	p[130].z: -12.587
p[130].vx: 29.405	p[130].vy: 11.267	p[130].vz: -133.349

p[131].x: -2.668	p[131].y: -0.893	p[131].z: 6.624
p[131].vx: -30.556	p[131].vy: -11.066	p[131].vz: 65.446

p[132].x: -0.915	p[132].y: -2.471	p[132].z: -2.968
p[132].vx: -10.122	p[132].vy: -20.405	p[132].vz: -28.320

p[133].x: -2.630	p[133].y: -5.526	p[133].z: 5.035
p[133].vx: -32.481	p[133].vy: -57.611	p[133].vz: 59.949

p[134].x: 2.313	p[134].y: 5.366	p[134].z: -4.979
p[134].vx: 24.103	p[134].vy: 50.203	p[134].vz: -46.634

p[135].x: 3.788	p[135].y: -4.803	p[135].z: -2.920
p[135].vx: 38.202	p[135].vy: -53.520	p[135].vz: -32.244

p[136].x: 0.666	p[136].y: 0.338	p[136].z: -0.770
p[136].vx: 4.217	p[136].vy: 5.991	p[136].vz: -7.992

p[137].x: -4.185	p[137].y: 8.002	p[137].z: 8.133
p[137].vx: -42.847	p[137].vy: 86.087	p[137].vz: 87.547

p[138].x: 3.934	p[138].y: -9.222	p[138].z: -0.130
p[138].vx: 41.888	p[138].vy: -98.103	p[138].vz: -2.639

p[139].x: 2.248	p[139].y: -9.094	p[139].z: -4.509
p[139].vx: 23.167	p[139].vy: -96.474	p[139].vz: -47.610

p[140].x: 1.063	p[140].y: 3.314	p[140].z: -0.747
p[140].vx: 10.509	p[140].vy: 31.914	p[140].vz: -12.241

p[141].x: 7.354	p[141].y: -1.006	p[141].z: 4.799
p[141].vx: 77.180	p[141].vy: -8.321	p[141].vz: 52.837

p[142].x: -4.972	p[142].y: -1.208	p[142].z: -5.042
p[142].vx: -47.612	p[142].vy: -6.561	p[142].vz: -47.139

p[143].x: 1.284	p[143].y: 3.219	p[143].z: -4.883
p[143].vx: 27.094	p[143].vy: 11.331	p[143].vz: -57.945

p[144].x: -2.231	p[144].y: -4.717	p[144].z: -0.999
p[144].vx: -24.009	p[144].vy: -43.051	p[144].vz: -2.806

p[145].x: -4.905	p[145].y: 5.451	p[145].z: 0.611
p[145].vx: -49.795	p[145].vy: 53.937	p[145].vz: -4.614

p[146].x: -5.155	p[146].y: 0.973	p[146].z: -2.748
p[146].vx: -49.334	p[146].vy: 9.043	p[146].vz: -28.906

p[147].x: -3.530	p[147].y: -1.846	p[147].z: -0.583
p[147].vx: -32.881	p[147].vy: -14.542	p[147].vz: -5.243

p[148].x: -1.796	p[148].y: 4.761	p[148].z: -2.742
p[148].vx: -26.550	p[148].vy: 55.539	p[148].vz: -34.061

p[149].x: 5.307	p[149].y: -3.403	p[149].z: -6.633
p[149].vx: 54.671	p[149].vy: -34.488	p[149].vz: -69.360

p[150].x: 0.663	p[150].y: 4.073	p[150].z: -6.476
p[150].vx: 5.641	p[150].vy: 42.954	p[150].vz: -63.579

p[151].x: 4.650	p[151].y: 8.248	p[151].z: -2.018
p[151].vx: 47.391	p[151].vy: 84.811	p[151].vz: -18.933

p[152].x: -2.212	p[152].y: -5.340	p[152].z: 4.361
p[152].vx: -26.941	p[152].vy: -53.852	p[152].vz: 48.164

p[153].x: -5.251	p[153].y: 3.253	p[153].z: -2.303
p[153].vx: -50.616	p[153].vy: 31.113	p[153].vz: -26.831

p[154].x: -4.340	p[154].y: 9.052	p[154].z: -1.782
p[154].vx: -45.694	p[154].vy: 92.471	p[154].vz: -19.535

p[155].x: 1.968	p[155].y: 6.108	p[155].z: -5.293
p[155].vx: 17.846	p[155].vy: 60.419	p[155].vz: -54.070

p[156].x: -0.890	p[156].y: 2.479	p[156].z: -3.290
p[156].vx: -25.425	p[156].vy: 20.107	p[156].vz: -64.469

p[157].x: -0.071	p[157].y: 5.193	p[157].z: -2.226
p[157].vx: 1.305	p[157].vy: 45.460	p[157].vz: -19.485

p[158].x: 0.672	p[158].y: 2.417	p[158].z: -1.179
p[158].vx: 4.919	p[158].vy: 26.766	p[158].vz: -12.342

p[159].x: -8.695	p[159].y: -4.799	p[159].z: -6.820
p[159].vx: -93.196	p[159].vy: -52.081	p[159].vz: -68.627

p[160].x: 5.510	p[160].y: -0.222	p[160].z: 2.592
p[160].vx: 55.913	p[160].vy: -3.176	p[160].vz: 26.192

p[161].x: -0.345	p[161].y: 4.530	p[161].z: -2.784
p[161].vx: -6.304	p[161].vy: 42.522	p[161].vz: -25.410

p[162].x: 7.063	p[162].y: -4.743	p[162].z: 1.525
p[162].vx: 76.767	p[162].vy: -52.510	p[162].vz: 19.549

p[163].x: 2.492	p[163].y: 5.255	p[163].z: -4.576
p[163].vx: 26.746	p[163].vy: 48.584	p[163].vz: -48.270

p[164].x: 3.759	p[164].y: -8.593	p[164].z: 0.666
