Total time: 1.625352s

p[87].vx: -184.329	p[87].vy: 45.109	p[87].vz: -123.920

p[88].x: -5.354	p[88].y: -6.950	p[88].z: 3.407
p[88].vx: -137.261	p[88].vy: -176.104	p[88].vz: 88.820

p[89].x: -1.902	p[89].y: -5.188	p[89].z: -3.677
p[89].vx: -53.162	p[89].vy: -142.064	p[89].vz: -103.192

p[90].x: -3.733	p[90].y: -3.424	p[90].z: 0.493
p[90].vx: -90.928	p[90].vy: -87.027	p[90].vz: 14.407

p[91].x: -3.255	p[91].y: -0.332	p[91].z: -6.882
p[91].vx: -85.793	p[91].vy: -9.578	p[91].vz: -176.420

p[92].x: -0.395	p[92].y: 6.696	p[92].z: -3.233
p[92].vx: -11.368	p[92].vy: 177.493	p[92].vz: -89.395

p[93].x: -94.028	p[93].y: 57.660	p[93].z: -1.808
p[93].vx: -2345.158	p[93].vy: 1442.641	p[93].vz: -37.826

p[94].x: -2.167	p[94].y: -10.019	p[94].z: 0.967
p[94].vx: -56.192	p[94].vy: -252.042	p[94].vz: 21.617

p[95].x: 4.091	p[95].y: 7.720	p[95].z: -1.310
p[95].vx: 112.033	p[95].vy: 201.260	p[95].vz: -36.936

p[96].x: -0.984	p[96].y: -7.866	p[96].z: -4.260
p[96].vx: -26.825	p[96].vy: -199.411	p[96].vz: -109.018

p[97].x: -1.300	p[97].y: -1.435	p[97].z: -2.306
p[97].vx: -59.143	p[97].vy: -57.144	p[97].vz: -56.725

p[98].x: 8.305	p[98].y: -0.998	p[98].z: -6.068
p[98].vx: 213.248	p[98].vy: -24.333	p[98].vz: -157.728

p[99].x: 8.033	p[99].y: -4.423	p[99].z: -4.627
p[99].vx: 204.705	p[99].vy: -106.163	p[99].vz: -119.041

p[100].x: -6.302	p[100].y: -7.412	p[100].z: 2.745
p[100].vx: -162.801	p[100].vy: -189.866	p[100].vz: 69.511

p[101].x: -2.980	p[101].y: 7.677	p[101].z: 0.885
p[101].vx: -73.222	p[101].vy: 193.212	p[101].vz: 19.308

p[102].x: 4.256	p[102].y: -2.809	p[102].z: -7.632
