Total time: 0.096150s

p[121].vx: 1.611	p[121].vy: -4.373	p[121].vz: -13.087

p[122].x: 0.033	p[122].y: -0.298	p[122].z: 0.238
p[122].vx: -3.404	p[122].vy: 24.999	p[122].vz: -26.214

p[123].x: 0.094	p[123].y: 0.246	p[123].z: -0.056
p[123].vx: 6.876	p[123].vy: 22.435	p[123].vz: -24.735

p[124].x: 0.003	p[124].y: 0.021	p[124].z: -0.008
p[124].vx: -21.607	p[124].vy: 19.788	p[124].vz: 19.630

p[125].x: -0.282	p[125].y: 0.375	p[125].z: 0.435
p[125].vx: 22.025	p[125].vy: -18.087	p[125].vz: -11.304

p[126].x: -0.032	p[126].y: -0.687	p[126].z: -0.800
p[126].vx: -6.869	p[126].vy: -54.330	p[126].vz: -12.048

p[127].x: -0.258	p[127].y: -0.343	p[127].z: -0.185
p[127].vx: -45.267	p[127].vy: -49.169	p[127].vz: -19.530

p[128].x: -0.161	p[128].y: -0.154	p[128].z: 0.074
p[128].vx: 10.931	p[128].vy: 6.464	p[128].vz: 36.741

p[129].x: 0.134	p[129].y: -0.040	p[129].z: -0.072
p[129].vx: 41.362	p[129].vy: -15.075	p[129].vz: -21.234

p[130].x: -0.252	p[130].y: -0.043	p[130].z: -0.016
p[130].vx: 27.507	p[130].vy: 0.860	p[130].vz: -34.206

p[131].x: 0.297	p[131].y: 0.236	p[131].z: -0.005
p[131].vx: -17.314	p[131].vy: -2.349	p[131].vz: 32.545

p[132].x: -0.002	p[132].y: -0.113	p[132].z: -0.028
p[132].vx: 3.912	p[132].vy: -21.798	p[132].vz: -36.035

p[133].x: 0.241	p[133].y: 0.165	p[133].z: -0.148
p[133].vx: -6.609	p[133].vy: -31.907	p[133].vz: 28.375

p[134].x: -0.124	p[134].y: 0.139	p[134].z: 0.060
p[134].vx: 24.181	p[134].vy: 27.199	p[134].vz: -24.368

p[135].x: -0.045	p[135].y: -0.026	p[135].z: 0.173
p[135].vx: 21.743	p[135].vy: -40.612	p[135].vz: -19.266

p[136].x: -0.124	p[136].y: -0.208	p[136].z: 0.248
p[136].vx: 14.326	p[136].vy: 5.085	p[136].vz: 1.460

p[137].x: 0.161	p[137].y: -0.430	p[137].z: 0.071
p[137].vx: 7.762	p[137].vy: 15.500	p[137].vz: 40.845

p[138].x: 0.152	p[138].y: -0.749	p[138].z: -0.806
p[138].vx: 27.080	p[138].vy: -36.976	p[138].vz: -14.412

p[139].x: -0.144	p[139].y: -0.265	p[139].z: 0.064
p[139].vx: 18.804	p[139].vy: -47.685	p[139].vz: -18.673

p[140].x: -0.022	p[140].y: 0.103	p[140].z: 0.063
p[140].vx: 9.144	p[140].vy: 31.703	p[140].vz: 8.117

p[141].x: -0.135	p[141].y: 0.159	p[141].z: -0.243
p[141].vx: 36.117	p[141].vy: -4.527	p[141].vz: 20.742

p[142].x: 0.065	p[142].y: -0.656	p[142].z: -0.131
p[142].vx: -22.259	p[142].vy: -2.759	p[142].vz: -16.266

p[143].x: 0.035	p[143].y: -0.212	p[143].z: 0.117
p[143].vx: 6.391	p[143].vy: 24.023	p[143].vz: -27.786

p[144].x: -0.069	p[144].y: -0.006	p[144].z: -0.164
p[144].vx: -26.870	p[144].vy: 5.336	p[144].vz: -10.314

p[145].x: -0.074	p[145].y: -0.103	p[145].z: 0.131
p[145].vx: -35.411	p[145].vy: 24.652	p[145].vz: -17.867

p[146].x: -0.208	p[146].y: 0.180	p[146].z: -0.019
p[146].vx: -47.420	p[146].vy: 24.412	p[146].vz: -27.898

p[147].x: -0.098	p[147].y: -0.020	p[147].z: 0.157
p[147].vx: -9.739	p[147].vy: -7.990	p[147].vz: 15.509

p[148].x: 0.021	p[148].y: 0.027	p[148].z: 0.226
p[148].vx: -20.882	p[148].vy: 41.247	p[148].vz: -16.219

p[149].x: 0.142	p[149].y: 0.098	p[149].z: -0.047
p[149].vx: 49.187	p[149].vy: -9.612	p[149].vz: -30.004

p[150].x: -0.288	p[150].y: -0.852	p[150].z: 0.440
p[150].vx: 4.854	p[150].vy: 7.178	p[150].vz: -12.390

p[151].x: -0.005	p[151].y: 0.173	p[151].z: 0.121
p[151].vx: 15.422	p[151].vy: 29.010	p[151].vz: -5.871

p[152].x: 0.227	p[152].y: 0.142	p[152].z: -0.204
p[152].vx: -11.246	p[152].vy: -28.106	p[152].vz: 23.746

p[153].x: -0.084	p[153].y: 0.108	p[153].z: 0.139
p[153].vx: -30.560	p[153].vy: 28.344	p[153].vz: -19.992

p[154].x: 0.269	p[154].y: -0.208	p[154].z: 0.209
p[154].vx: -16.886	p[154].vy: 25.392	p[154].vz: -0.021

p[155].x: 0.397	p[155].y: -0.031	p[155].z: 0.082
p[155].vx: 13.196	p[155].vy: 29.259	p[155].vz: -38.275

p[156].x: 0.088	p[156].y: 0.164	p[156].z: -0.054
p[156].vx: 8.447	p[156].vy: 24.020	p[156].vz: -21.526

p[157].x: 0.066	p[157].y: 0.052	p[157].z: 0.296
p[157].vx: -7.100	p[157].vy: 32.424	p[157].vz: -20.487

p[158].x: -0.001	p[158].y: 0.084	p[158].z: -0.049
p[158].vx: 10.194	p[158].vy: 16.197	p[158].vz: -25.583

p[159].x: -0.889	p[159].y: 3.389	p[159].z: -2.827
p[159].vx: -39.890	p[159].vy: 73.360	p[159].vz: -67.557

p[160].x: 0.063	p[160].y: -0.021	p[160].z: 0.032
p[160].vx: 24.203	p[160].vy: -8.032	p[160].vz: 19.918

p[161].x: 0.350	p[161].y: -0.454	p[161].z: -0.143
p[161].vx: 8.708	p[161].vy: 16.376	p[161].vz: -24.802

p[162].x: -0.038	p[162].y: -0.106	p[162].z: -0.249
p[162].vx: 37.959	p[162].vy: -34.329	p[162].vz: 14.748

p[163].x: -0.330	p[163].y: -0.197	p[163].z: 0.354
p[163].vx: 13.368	p[163].vy: 27.968	p[163].vz: -22.482

p[164].x: 0.010	p[164].y: -0.202	p[164].z: 0.231
p[164].vx: 31.325	p[164].vy: -53.723	p[164].vz: 8.709

p[165].x: -0.090	p[165].y: -0.016	p[165].z: -0.049
p[165].vx: -30.184	p[165].vy: -33.709	p[165].vz: -1.109

p[166].x: 0.081	p[166].y: -0.095	p[166].z: -0.154
p[166].vx: -14.311	p[166].vy: 24.531	p[166].vz: 12.031

p[167].x: 0.076	p[167].y: 0.043	p[167].z: 0.018
p[167].vx: -7.843	p[167].vy: -7.418	p[167].vz: 5.842

p[168].x: 0.045	p[168].y: -0.088	p[168].z: 0.095
p[168].vx: -13.901	p[168].vy: -0.402	p[168].vz: 32.126

p[169].x: 0.104	p[169].y: 0.163	p[169].z: 0.042
p[169].vx: 8.102	p[169].vy: 4.268	p[169].vz: 23.609

p[170].x: 0.036	p[170].y: -0.057	p[170].z: -0.369
p[170].vx: -22.168	p[170].vy: -42.899	p[170].vz: -1.383

p[171].x: 0.129	p[171].y: 0.408	p[171].z: -0.320
p[171].vx: 16.525	p[171].vy: -5.713	p[171].vz: -28.519

p[172].x: 0.089	p[172].y: 0.182	p[172].z: 0.122
p[172].vx: 7.539	p[172].vy: 45.790	p[172].vz: -7.438

p[173].x: 0.951	p[173].y: 3.129	p[173].z: -2.966
p[173].vx: 39.808	p[173].vy: 61.271	p[173].vz: -63.711

p[174].x: -2.536	p[174].y: -0.126	p[174].z: -1.012
p[174].vx: -69.963	p[174].vy: -28.848	p[174].vz: -45.527

p[175].x: -0.887	p[175].y: -4.332	p[175].z: 2.452
p[175].vx: -41.687	p[175].vy: -125.181	p[175].vz: 82.458

p[176].x: -0.482	p[176].y: 0.051	p[176].z: 0.002
p[176].vx: -18.239	p[176].vy: -8.694	p[176].vz: 35.601

p[177].x: -0.233	p[177].y: -0.018	p[177].z: 0.244
p[177].vx: -20.286	p[177].vy: -11.894	p[177].vz: 19.620

p[178].x: -0.182	p[178].y: -0.002	p[178].z: 0.277
p[178].vx: 27.548	p[178].vy: -40.433	p[178].vz: 6.505

p[179].x: -0.422	p[179].y: 0.370	p[179].z: -0.209
p[179].vx: -43.412	p[179].vy: 40.892	p[179].vz: -34.686

p[180].x: 0.155	p[180].y: -0.171	p[180].z: 0.347
p[180].vx: -29.600	p[180].vy: 24.224	p[180].vz: -15.785

p[181].x: 0.059	p[181].y: 0.115	p[181].z: -0.092
p[181].vx: 18.328	p[181].vy: 22.245	p[181].vz: -34.366

p[182].x: -0.047	p[182].y: -0.224	p[182].z: 0.055
p[182].vx: -14.998	p[182].vy: 17.154	p[182].vz: -25.744

p[183].x: -0.423	p[183].y: 0.127	p[183].z: 0.840
p[183].vx: -39.857	p[183].vy: -2.116	p[183].vz: 5.449

p[184].x: -0.003	p[184].y: 0.120	p[184].z: -0.142
p[184].vx: 9.729	p[184].vy: -31.644	p[184].vz: 31.570

p[185].x: 0.050	p[185].y: -0.142	p[185].z: -0.156
p[185].vx: 33.175	p[185].vy: -29.161	p[185].vz: 1.041

p[186].x: -0.232	p[186].y: 0.257	p[186].z: -0.153
p[186].vx: 29.802	p[186].vy: -21.016	p[186].vz: 17.965

p[187].x: 0.063	p[187].y: -0.037	p[187].z: 0.073
p[187].vx: -10.535	p[187].vy: -26.687	p[187].vz: 26.963

p[188].x: -0.050	p[188].y: 0.005	p[188].z: -0.025
p[188].vx: 24.235	p[188].vy: 29.871	p[188].vz: 7.022

p[189].x: 0.040	p[189].y: -0.041	p[189].z: 0.153
p[189].vx: -25.068	p[189].vy: -34.443	p[189].vz: 39.765

p[190].x: -0.145	p[190].y: -0.050	p[190].z: -0.031
p[190].vx: 25.811	p[190].vy: 10.735	p[190].vz: -27.790

p[191].x: 0.109	p[191].y: 0.254	p[191].z: 0.023
p[191].vx: -5.627	p[191].vy: 33.091	p[191].vz: -3.648

p[192].x: 0.027	p[192].y: -0.114	p[192].z: 0.014
p[192].vx: -10.576	p[192].vy: -35.575	p[192].vz: -3.468

p[193].x: -1.025	p[193].y: -0.166	p[193].z: 0.866
p[193].vx: -122.807	p[193].vy: -20.513	p[193].vz: 59.163

p[194].x: 0.450	p[194].y: -0.063	p[194].z: -0.478
p[194].vx: -0.368	p[194].vy: 21.501	p[194].vz: 9.018

p[195].x: 0.078	p[195].y: 0.218	p[195].z: 0.016
p[195].vx: 41.820	p[195].vy: 22.438	p[195].vz: -17.592

p[196].x: 0.151	p[196].y: -0.126	p[196].z: 0.105
p[196].vx: 2.944	p[196].vy: -22.606	p[196].vz: 11.162

p[197].x: 0.141	p[197].y: 0.251	p[197].z: -0.267
p[197].vx: -21.696	p[197].vy: -25.526	p[197].vz: 11.127

p[198].x: 0.237	p[198].y: 0.179	p[198].z: -0.098
p[198].vx: 49.606	p[198].vy: 7.452	p[198].vz: -21.614

