Total time: 7.763126s

p[128].x: -31.688	p[128].y: 102.316	p[128].z: -178.350
p[128].vx: -352.459	p[128].vy: 1138.052	p[128].vz: -1983.816

p[129].x: -123.322	p[129].y: 90.976	p[129].z: 271.201
p[129].vx: -1370.654	p[129].vy: 1011.236	p[129].vz: 3014.384

p[130].x: 104.507	p[130].y: 170.153	p[130].z: 103.479
p[130].vx: 1162.198	p[130].vy: 1892.241	p[130].vz: 1150.925

p[131].x: -49.785	p[131].y: 32.699	p[131].z: -297.925
p[131].vx: -553.353	p[131].vy: 363.634	p[131].vz: -3311.932

p[132].x: -22.513	p[132].y: 121.907	p[132].z: 72.864
p[132].vx: -250.138	p[132].vy: 1354.812	p[132].vz: 809.552

p[133].x: -86.660	p[133].y: -75.623	p[133].z: 111.606
p[133].vx: -964.632	p[133].vy: -841.646	p[133].vz: 1242.359

p[134].x: 30.733	p[134].y: 158.664	p[134].z: 189.805
p[134].vx: 341.748	p[134].vy: 1763.307	p[134].vz: 2109.134

p[135].x: 154.492	p[135].y: -25.119	p[135].z: -15.085
p[135].vx: 1719.964	p[135].vy: -279.407	p[135].vz: -168.106

p[136].x: -68.401	p[136].y: 173.420	p[136].z: -338.230
p[136].vx: -760.143	p[136].vy: 1927.248	p[136].vz: -3758.951

p[137].x: -29.998	p[137].y: -235.800	p[137].z: -232.979
p[137].vx: -333.367	p[137].vy: -2620.801	p[137].vz: -2589.639

p[138].x: -86.701	p[138].y: -294.397	p[138].z: 58.238
p[138].vx: -963.787	p[138].vy: -3272.403	p[138].vz: 647.255

p[139].x: 87.784	p[139].y: 102.071	p[139].z: -224.605
p[139].vx: 976.254	p[139].vy: 1135.201	p[139].vz: -2497.375

p[140].x: 103.575	p[140].y: -161.769	p[140].z: -141.832
p[140].vx: 1151.862	p[140].vy: -1798.784	p[140].vz: -1577.281

p[141].x: -47.385	p[141].y: -89.651	p[141].z: 246.455
p[141].vx: -526.877	p[141].vy: -996.674	p[141].vz: 2739.955

p[142].x: -164.467	p[142].y: 104.959	p[142].z: 77.898
p[142].vx: -1829.114	p[142].vy: 1167.457	p[142].vz: 866.413

p[143].x: -10.076	p[143].y: 239.142	p[143].z: 120.848
p[143].vx: -111.877	p[143].vy: 2658.709	p[143].vz: 1343.694

p[144].x: 323.097	p[144].y: 40.718	p[144].z: 291.563
p[144].vx: 3590.951	p[144].vy: 452.689	p[144].vz: 3240.547

p[145].x: 8.530	p[145].y: 224.064	p[145].z: -174.810
p[145].vx: 94.976	p[145].vy: 2491.038	p[145].vz: -1943.498

p[146].x: -64.792	p[146].y: 217.744	p[146].z: -66.080
p[146].vx: -720.347	p[146].vy: 2421.528	p[146].vz: -734.872

p[147].x: 141.911	p[147].y: -224.941	p[147].z: -207.646
p[147].vx: 1577.347	p[147].vy: -2499.834	p[147].vz: -2307.814

p[148].x: -16.566	p[148].y: 9.616	p[148].z: -18.246
p[148].vx: -190.201	p[148].vy: 107.488	p[148].vz: -209.073

p[149].x: 63.309	p[149].y: 15.645	p[149].z: 172.802
p[149].vx: 703.636	p[149].vy: 173.868	p[149].vz: 1920.144

p[150].x: 171.962	p[150].y: 11.914	p[150].z: -25.664
p[150].vx: 1913.846	p[150].vy: 132.543	p[150].vz: -285.714

p[151].x: -103.681	p[151].y: 230.857	p[151].z: 65.704
p[151].vx: -1152.587	p[151].vy: 2566.649	p[151].vz: 730.465

p[152].x: -164.180	p[152].y: -35.842	p[152].z: 71.846
p[152].vx: -1826.823	p[152].vy: -398.784	p[152].vz: 799.573

p[153].x: -122.088	p[153].y: 158.964	p[153].z: -255.031
p[153].vx: -1356.951	p[153].vy: 1767.033	p[153].vz: -2834.913

p[154].x: -120.515	p[154].y: -139.651	p[154].z: -63.993
p[154].vx: -1340.611	p[154].vy: -1553.623	p[154].vz: -712.134

p[155].x: 136.692	p[155].y: -115.729	p[155].z: -125.649
p[155].vx: 1520.433	p[155].vy: -1287.125	p[155].vz: -1397.474

p[156].x: -46.086	p[156].y: 9.012	p[156].z: -280.474
p[156].vx: -512.375	p[156].vy: 100.351	p[156].vz: -3118.303

p[157].x: 6.844	p[157].y: -220.507	p[157].z: -157.660
p[157].vx: 76.287	p[157].vy: -2451.449	p[157].vz: -1752.875

p[158].x: -133.729	p[158].y: -115.947	p[158].z: -50.410
p[158].vx: -1486.153	p[158].vy: -1288.394	p[158].vz: -560.367

p[159].x: 152.366	p[159].y: -55.129	p[159].z: -23.276
p[159].vx: 1695.923	p[159].vy: -613.493	p[159].vz: -259.354

p[160].x: -225.072	p[160].y: 18.098	p[160].z: 215.338
p[160].vx: -2501.635	p[160].vy: 201.270	p[160].vz: 2393.396

p[161].x: 200.060	p[161].y: 193.426	p[161].z: 133.586
p[161].vx: 2223.925	p[161].vy: 2150.149	p[161].vz: 1484.885

p[162].x: 25.139	p[162].y: -97.148	p[162].z: 77.349
p[162].vx: 279.832	p[162].vy: -1082.336	p[162].vz: 861.873

p[163].x: 94.958	p[163].y: 68.807	p[163].z: -59.732
p[163].vx: 1058.161	p[163].vy: 766.363	p[163].vz: -665.683

p[164].x: 215.261	p[164].y: 177.014	p[164].z: 12.556
p[164].vx: 2393.049	p[164].vy: 1967.971	p[164].vz: 139.550

p[165].x: 229.878	p[165].y: 24.847	p[165].z: -46.250
p[165].vx: 2556.348	p[165].vy: 276.398	p[165].vz: -514.544

p[166].x: -59.404	p[166].y: 142.985	p[166].z: -160.137
p[166].vx: -660.629	p[166].vy: 1590.161	p[166].vz: -1781.218

p[167].x: 147.498	p[167].y: 184.899	p[167].z: 140.987
p[167].vx: 1639.795	p[167].vy: 2055.587	p[167].vz: 1567.234

p[168].x: 43.007	p[168].y: 189.999	p[168].z: -204.062
p[168].vx: 478.103	p[168].vy: 2112.061	p[168].vz: -2268.517

p[169].x: -221.256	p[169].y: 73.009	p[169].z: 25.254
p[169].vx: -2459.204	p[169].vy: 811.423	p[169].vz: 280.820

p[170].x: -254.910	p[170].y: 16.068	p[170].z: 47.951
p[170].vx: -2834.270	p[170].vy: 178.825	p[170].vz: 533.027

p[171].x: -12.253	p[171].y: 133.256	p[171].z: -44.375
p[171].vx: -136.345	p[171].vy: 1484.006	p[171].vz: -494.096

p[172].x: -5.338	p[172].y: -302.764	p[172].z: -70.632
p[172].vx: -59.309	p[172].vy: -3365.098	p[172].vz: -785.065

p[173].x: -68.709	p[173].y: -62.738	p[173].z: 279.736
p[173].vx: -763.726	p[173].vy: -697.181	p[173].vz: 3109.056

p[174].x: -94.861	p[174].y: -74.352	p[174].z: -98.272
p[174].vx: -1056.128	p[174].vy: -827.650	p[174].vz: -1094.166

p[175].x: -24.395	p[175].y: -52.636	p[175].z: 32.407
p[175].vx: -273.013	p[175].vy: -589.538	p[175].vz: 362.789

p[176].x: -92.332	p[176].y: -226.989	p[176].z: -268.961
p[176].vx: -1026.136	p[176].vy: -2522.626	p[176].vz: -2989.353

p[177].x: 7.517	p[177].y: -74.014	p[177].z: -241.259
p[177].vx: 83.736	p[177].vy: -822.884	p[177].vz: -2682.786

p[178].x: -11.361	p[178].y: -6.507	p[178].z: 94.874
p[178].vx: -127.023	p[178].vy: -72.102	p[178].vz: 1058.453

p[179].x: -84.556	p[179].y: 63.204	p[179].z: -81.186
p[179].vx: -941.983	p[179].vy: 704.145	p[179].vz: -904.646

p[180].x: -23.574	p[180].y: 89.561	p[180].z: -175.519
p[180].vx: -262.286	p[180].vy: 996.342	p[180].vz: -1952.992

p[181].x: 23.780	p[181].y: -47.020	p[181].z: -219.085
p[181].vx: 264.569	p[181].vy: -522.914	p[181].vz: -2436.664

p[182].x: -57.314	p[182].y: 83.696	p[182].z: -1.117
p[182].vx: -638.955	p[182].vy: 933.607	p[182].vz: -11.818

p[183].x: 133.678	p[183].y: -33.642	p[183].z: -142.633
p[183].vx: 1487.354	p[183].vy: -373.766	p[183].vz: -1586.380

p[184].x: 25.878	p[184].y: -147.144	p[184].z: 18.639
p[184].vx: 288.139	p[184].vy: -1638.298	p[184].vz: 207.315

p[185].x: -191.406	p[185].y: -158.256	p[185].z: 170.286
p[185].vx: -2127.300	p[185].vy: -1759.010	p[185].vz: 1892.572

p[186].x: 28.042	p[186].y: -79.838	p[186].z: 69.244
p[186].vx: 312.501	p[186].vy: -890.129	p[186].vz: 772.148

p[187].x: 2.365	p[187].y: 126.127	p[187].z: 197.485
p[187].vx: 26.433	p[187].vy: 1401.922	p[187].vz: 2194.768

p[188].x: 118.730	p[188].y: -182.965	p[188].z: -2.467
p[188].vx: 1320.515	p[188].vy: -2034.854	p[188].vz: -27.679

p[189].x: 181.439	p[189].y: -197.639	p[189].z: 229.166
p[189].vx: 2016.514	p[189].vy: -2196.341	p[189].vz: 2546.628

p[190].x: 179.356	p[190].y: 34.877	p[190].z: 115.753
p[190].vx: 1994.826	p[190].vy: 387.992	p[190].vz: 1287.677

p[191].x: 190.547	p[191].y: -127.902	p[191].z: 130.872
p[191].vx: 2118.429	p[191].vy: -1421.989	p[191].vz: 1455.056

p[192].x: -2.473	p[192].y: -1.435	p[192].z: -4.016
p[192].vx: -28.374	p[192].vy: -9.887	p[192].vz: -55.224

p[193].x: 8.962	p[193].y: 111.754	p[193].z: 269.032
p[193].vx: 99.796	p[193].vy: 1242.223	p[193].vz: 2990.351

p[194].x: -234.617	p[194].y: -206.217	p[194].z: -28.781
