Total time: 1.378734s

p[92].x: -0.103	p[92].y: 2.194	p[92].z: -1.288
p[92].vx: -11.968	p[92].vy: 35.387	p[92].vz: -25.389

p[93].x: 3.947	p[93].y: 0.115	p[93].z: 5.089
p[93].vx: 55.292	p[93].vy: 2.365	p[93].vz: 70.885

p[94].x: -0.006	p[94].y: -1.837	p[94].z: -1.678
p[94].vx: 6.391	p[94].vy: -24.234	p[94].vz: -32.357

p[95].x: 3.782	p[95].y: 3.669	p[95].z: -0.859
p[95].vx: 55.712	p[95].vy: 55.369	p[95].vz: -12.979

p[96].x: -1.954	p[96].y: -6.215	p[96].z: -6.381
p[96].vx: -28.060	p[96].vy: -88.297	p[96].vz: -92.425

p[97].x: -2.616	p[97].y: -2.812	p[97].z: -2.534
p[97].vx: -44.796	p[97].vy: -46.147	p[97].vz: -46.251

p[98].x: 7.896	p[98].y: 2.372	p[98].z: -4.390
p[98].vx: 113.857	p[98].vy: 34.306	p[98].vz: -62.003

p[99].x: -0.270	p[99].y: -0.806	p[99].z: -6.825
p[99].vx: -1.583	p[99].vy: -10.721	p[99].vz: -96.558

p[100].x: -3.012	p[100].y: -3.123	p[100].z: 1.669
p[100].vx: -48.083	p[100].vy: -40.393	p[100].vz: 23.811

p[101].x: -1.592	p[101].y: 5.009	p[101].z: 1.680
p[101].vx: -21.627	p[101].vy: 68.871	p[101].vz: 23.134

p[102].x: 5.953	p[102].y: -1.631	p[102].z: -4.359
p[102].vx: 83.579	p[102].vy: -22.667	p[102].vz: -62.292

p[103].x: -3.090	p[103].y: -0.027	p[103].z: -7.361
p[103].vx: -43.616	p[103].vy: -0.262	p[103].vz: -104.273

p[104].x: -2.241	p[104].y: 6.049	p[104].z: 3.290
p[104].vx: -32.986	p[104].vy: 87.327	p[104].vz: 46.384

p[105].x: 5.191	p[105].y: -1.943	p[105].z: -9.859
p[105].vx: 74.746	p[105].vy: -28.245	p[105].vz: -140.505

p[106].x: -1.701	p[106].y: 0.346	p[106].z: -1.830
p[106].vx: -29.268	p[106].vy: 13.060	p[106].vz: -31.344

p[107].x: -4.640	p[107].y: 1.009	p[107].z: -5.333
p[107].vx: -67.542	p[107].vy: 15.636	p[107].vz: -77.254

p[108].x: -2.685	p[108].y: 1.730	p[108].z: -1.813
p[108].vx: -47.160	p[108].vy: 32.891	p[108].vz: -33.812

p[109].x: 3.504	p[109].y: 4.129	p[109].z: 6.020
p[109].vx: 49.686	p[109].vy: 59.375	p[109].vz: 85.509

p[110].x: 2.511	p[110].y: 3.168	p[110].z: 1.421
p[110].vx: 35.184	p[110].vy: 43.666	p[110].vz: 23.594

p[111].x: -0.892	p[111].y: -3.096	p[111].z: -2.009
p[111].vx: -16.387	p[111].vy: -46.061	p[111].vz: -26.223

p[112].x: 1.671	p[112].y: -1.116	p[112].z: -1.162
p[112].vx: 23.411	p[112].vy: -18.627	p[112].vz: -21.687

p[113].x: 0.679	p[113].y: 3.180	p[113].z: 7.964
p[113].vx: 11.277	p[113].vy: 45.922	p[113].vz: 114.126

p[114].x: 1.733	p[114].y: -4.706	p[114].z: 4.720
p[114].vx: 25.898	p[114].vy: -68.113	p[114].vz: 68.274

p[115].x: -8.421	p[115].y: 1.027	p[115].z: -4.422
p[115].vx: -119.746	p[115].vy: 13.820	p[115].vz: -64.283

p[116].x: -3.946	p[116].y: -1.805	p[116].z: -1.460
p[116].vx: -57.147	p[116].vy: -24.225	p[116].vz: -21.345

p[117].x: -7.532	p[117].y: 2.470	p[117].z: -3.913
p[117].vx: -106.100	p[117].vy: 35.604	p[117].vz: -56.641

p[118].x: 3.570	p[118].y: 2.492	p[118].z: 2.087
p[118].vx: 52.113	p[118].vy: 39.415	p[118].vz: 31.288

p[119].x: -3.047	p[119].y: -3.157	p[119].z: 2.349
p[119].vx: -50.146	p[119].vy: -53.226	p[119].vz: 38.188

p[120].x: -1.947	p[120].y: 9.182	p[120].z: -3.921
p[120].vx: -27.723	p[120].vy: 130.424	p[120].vz: -56.652

p[121].x: -2.680	p[121].y: -0.351	p[121].z: -1.405
p[121].vx: -42.561	p[121].vy: -2.488	p[121].vz: -20.421

p[122].x: -0.117	p[122].y: 4.722	p[122].z: -5.309
p[122].vx: -1.618	p[122].vy: 67.911	p[122].vz: -78.203

p[123].x: 17.645	p[123].y: 3.951	p[123].z: -4.044
p[123].vx: 252.138	p[123].vy: 56.017	p[123].vz: -58.521

p[124].x: -5.105	p[124].y: 1.930	p[124].z: 6.830
p[124].vx: -72.743	p[124].vy: 29.546	p[124].vz: 97.575

p[125].x: 2.106	p[125].y: -2.806	p[125].z: -2.218
p[125].vx: 31.696	p[125].vy: -47.792	p[125].vz: -37.227

p[126].x: -1.235	p[126].y: -4.504	p[126].z: 5.165
p[126].vx: -17.631	p[126].vy: -62.486	p[126].vz: 71.137

p[127].x: -0.507	p[127].y: -8.223	p[127].z: -1.091
p[127].vx: -5.165	p[127].vy: -115.107	p[127].vz: -13.645

p[128].x: 5.595	p[128].y: -1.199	p[128].z: 7.307
p[128].vx: 80.304	p[128].vy: -16.766	p[128].vz: 103.640

p[129].x: 2.243	p[129].y: -3.809	p[129].z: -5.707
p[129].vx: 35.137	p[129].vy: -56.372	p[129].vz: -80.323

p[130].x: 5.200	p[130].y: 0.750	p[130].z: -5.590
p[130].vx: 75.039	p[130].vy: 11.723	p[130].vz: -79.935

p[131].x: -4.565	p[131].y: -1.960	p[131].z: 3.692
p[131].vx: -65.804	p[131].vy: -30.078	p[131].vz: 51.696

p[132].x: 1.584	p[132].y: -1.986	p[132].z: -0.992
p[132].vx: 26.507	p[132].vy: -28.007	p[132].vz: -12.393

p[133].x: -1.026	p[133].y: -3.433	p[133].z: 1.230
p[133].vx: -17.091	p[133].vy: -52.615	p[133].vz: 12.541

p[134].x: 4.016	p[134].y: 0.340	p[134].z: -5.653
p[134].vx: 55.990	p[134].vy: 4.851	p[134].vz: -79.156

p[135].x: 2.526	p[135].y: -3.700	p[135].z: -2.984
p[135].vx: 36.866	p[135].vy: -52.618	p[135].vz: -46.363

p[136].x: 2.947	p[136].y: 3.592	p[136].z: -0.787
p[136].vx: 41.249	p[136].vy: 51.056	p[136].vz: -12.261

p[137].x: -0.410	p[137].y: 7.009	p[137].z: 5.531
p[137].vx: -6.089	p[137].vy: 100.589	p[137].vz: 79.548

p[138].x: 0.036	p[138].y: -6.370	p[138].z: -7.794
p[138].vx: 9.739	p[138].vy: -77.083	p[138].vz: -84.211

p[139].x: 4.820	p[139].y: -4.138	p[139].z: -4.235
p[139].vx: 70.121	p[139].vy: -58.396	p[139].vz: -61.635

p[140].x: 6.743	p[140].y: 1.687	p[140].z: -3.731
p[140].vx: 95.653	p[140].vy: 23.314	p[140].vz: -53.954

p[141].x: 2.395	p[141].y: -1.059	p[141].z: 2.823
p[141].vx: 31.675	p[141].vy: -15.022	p[141].vz: 42.365

p[142].x: -8.091	p[142].y: -0.427	p[142].z: 3.995
p[142].vx: -102.669	p[142].vy: -1.538	p[142].vz: 43.981

p[143].x: -0.687	p[143].y: 6.554	p[143].z: -4.243
p[143].vx: -10.386	p[143].vy: 93.974	p[143].vz: -59.853

p[144].x: -6.312	p[144].y: 0.214	p[144].z: -2.765
p[144].vx: -88.974	p[144].vy: 4.467	p[144].vz: -39.774

p[145].x: -3.117	p[145].y: 4.101	p[145].z: -3.785
p[145].vx: -45.819	p[145].vy: 59.167	p[145].vz: -57.219

p[146].x: -4.105	p[146].y: 0.208	p[146].z: -1.379
p[146].vx: -54.307	p[146].vy: 2.186	p[146].vz: -20.607

p[147].x: 2.414	p[147].y: -4.051	p[147].z: -4.708
p[147].vx: 35.807	p[147].vy: -55.506	p[147].vz: -67.125

p[148].x: 1.258	p[148].y: 2.762	p[148].z: -3.154
p[148].vx: 23.197	p[148].vy: 35.370	p[148].vz: -47.641

p[149].x: 5.282	p[149].y: 2.592	p[149].z: -0.927
p[149].vx: 73.435	p[149].vy: 36.695	p[149].vz: -14.456

p[150].x: 3.374	p[150].y: 5.982	p[150].z: -4.975
p[150].vx: 49.381	p[150].vy: 86.214	p[150].vz: -71.992

p[151].x: 5.907	p[151].y: -0.697	p[151].z: 0.337
p[151].vx: 82.294	p[151].vy: -9.906	p[151].vz: 3.967

p[152].x: -2.187	p[152].y: -2.412	p[152].z: 2.222
p[152].vx: -36.579	p[152].vy: -35.595	p[152].vz: 32.484

p[153].x: -5.463	p[153].y: 4.385	p[153].z: -4.860
p[153].vx: -77.306	p[153].vy: 62.446	p[153].vz: -70.852

p[154].x: -20.012	p[154].y: 23.244	p[154].z: 13.298
p[154].vx: -255.286	p[154].vy: 296.448	p[154].vz: 164.017

p[155].x: 0.166	p[155].y: 3.530	p[155].z: -4.940
p[155].vx: -1.348	p[155].vy: 53.132	p[155].vz: -70.558

p[156].x: -0.419	p[156].y: 4.193	p[156].z: -6.246
p[156].vx: -4.922	p[156].vy: 59.076	p[156].vz: -87.350

p[157].x: -2.035	p[157].y: 4.737	p[157].z: -4.842
p[157].vx: -29.163	p[157].vy: 67.345	p[157].vz: -69.610

p[158].x: 9.436	p[158].y: 1.989	p[158].z: 1.190
p[158].vx: 134.847	p[158].vy: 28.112	p[158].vz: 15.562

p[159].x: -4.425	p[159].y: 2.642	p[159].z: -8.838
p[159].vx: -55.779	p[159].vy: 24.135	p[159].vz: -94.228

p[160].x: 5.889	p[160].y: -3.402	p[160].z: 2.716
p[160].vx: 81.938	p[160].vy: -47.531	p[160].vz: 36.946

p[161].x: 10.209	p[161].y: 9.913	p[161].z: 12.070
p[161].vx: 112.874	p[161].vy: 115.925	p[161].vz: 126.103

p[162].x: 2.230	p[162].y: -1.183	p[162].z: 1.848
p[162].vx: 37.893	p[162].vy: -16.722	p[162].vz: 29.019

p[163].x: 2.624	p[163].y: 1.638	p[163].z: -1.978
p[163].vx: 44.998	p[163].vy: 27.267	p[163].vz: -30.349

p[164].x: 4.407	p[164].y: -4.548	p[164].z: -1.018
p[164].vx: 64.604	p[164].vy: -65.399	p[164].vz: -15.739

p[165].x: -5.482	p[165].y: -3.920	p[165].z: 3.680
p[165].vx: -76.661	p[165].vy: -55.305	p[165].vz: 52.489

p[166].x: -1.736	p[166].y: 0.695	p[166].z: 4.607
p[166].vx: -24.764	p[166].vy: 10.429	p[166].vz: 68.816

p[167].x: -2.810	p[167].y: 5.097	p[167].z: 0.212
p[167].vx: -39.114	p[167].vy: 70.542	p[167].vz: 2.267

p[168].x: -0.372	p[168].y: 0.893	p[168].z: 6.401
p[168].vx: -5.215	p[168].vy: 13.888	p[168].vz: 89.906

p[169].x: 0.912	p[169].y: -1.242	p[169].z: 4.529
p[169].vx: 13.381	p[169].vy: -16.646	p[169].vz: 62.635

p[170].x: -3.145	p[170].y: -4.073	p[170].z: 0.412
p[170].vx: -46.325	p[170].vy: -58.972	p[170].vz: 9.066

p[171].x: 4.116	p[171].y: -2.603	p[171].z: -3.655
p[171].vx: 58.437	p[171].vy: -35.254	p[171].vz: -51.323

p[172].x: -4.648	p[172].y: 4.409	p[172].z: -1.260
p[172].vx: -63.523	p[172].vy: 61.665	p[172].vz: -17.870

p[173].x: 1.918	p[173].y: -1.949	p[173].z: 1.046
p[173].vx: 25.589	p[173].vy: -40.583	p[173].vz: 18.809

p[174].x: -1.234	p[174].y: -3.373	p[174].z: -2.531
p[174].vx: -5.339	p[174].vy: -45.196	p[174].vz: -33.414

p[175].x: -3.210	p[175].y: -6.608	p[175].z: 5.212
p[175].vx: -45.371	p[175].vy: -76.960	p[175].vz: 63.435

p[176].x: 1.696	p[176].y: -2.950	p[176].z: 6.616
p[176].vx: 26.020	p[176].vy: -42.453	p[176].vz: 93.524

p[177].x: -6.142	p[177].y: 7.897	p[177].z: -2.977
p[177].vx: -68.613	p[177].vy: 78.945	p[177].vz: -34.055

p[178].x: 4.033	p[178].y: -4.711	p[178].z: -0.676
p[178].vx: 58.888	p[178].vy: -69.585	p[178].vz: -13.473

p[179].x: -2.966	p[179].y: 1.900	p[179].z: -2.616
p[179].vx: -45.089	p[179].vy: 30.210	p[179].vz: -43.982

p[180].x: -2.705	p[180].y: 1.525	p[180].z: -2.825
p[180].vx: -42.817	p[180].vy: 24.449	p[180].vz: -47.516

p[181].x: 4.942	p[181].y: 5.244	p[181].z: -3.665
p[181].vx: 69.560	p[181].vy: 73.336	p[181].vz: -52.052

p[182].x: -2.070	p[182].y: 4.878	p[182].z: -4.557
p[182].vx: -27.918	p[182].vy: 69.811	p[182].vz: -65.535

p[183].x: -0.582	p[183].y: 1.760	p[183].z: -5.416
p[183].vx: -4.177	p[183].vy: 26.043	p[183].vz: -76.287

p[184].x: 0.733	p[184].y: -2.667	p[184].z: 3.812
p[184].vx: 12.618	p[184].vy: -40.808	p[184].vz: 54.607

p[185].x: 5.334	p[185].y: -5.990	p[185].z: 6.185
p[185].vx: 76.120	p[185].vy: -85.379	p[185].vz: 86.660

p[186].x: 2.045	p[186].y: -2.303	p[186].z: 2.198
p[186].vx: 28.579	p[186].vy: -35.576	p[186].vz: 34.219

p[187].x: 0.546	p[187].y: -3.477	p[187].z: 4.530
p[187].vx: 8.093	p[187].vy: -45.685	p[187].vz: 63.816

p[188].x: 4.784	p[188].y: 4.822	p[188].z: 1.664
p[188].vx: 67.179	p[188].vy: 68.260	p[188].vz: 24.999

p[189].x: -3.047	p[189].y: -4.036	p[189].z: 1.445
p[189].vx: -44.583	p[189].vy: -56.182	p[189].vz: 24.223

p[190].x: -0.360	p[190].y: 3.039	p[190].z: -2.676
p[190].vx: -7.627	p[190].vy: 43.985	p[190].vz: -34.048

p[191].x: -5.592	p[191].y: 3.918	p[191].z: 0.754
p[191].vx: -77.803	p[191].vy: 55.180	p[191].vz: 10.439

p[192].x: -0.350	p[192].y: -6.846	p[192].z: -1.667
p[192].vx: -4.692	p[192].vy: -95.273	p[192].vz: -24.473

p[193].x: -2.683	p[193].y: -5.099	p[193].z: -3.723
p[193].vx: -37.938	p[193].vy: -71.994	p[193].vz: -53.084

p[194].x: -2.189	p[194].y: 1.689	p[194].z: 2.950
p[194].vx: -35.510	p[194].vy: 20.675	p[194].vz: 43.746

p[195].x: 5.099	p[195].y: 1.646	p[195].z: -0.025
p[195].vx: 70.151	p[195].vy: 23.777	p[195].vz: 1.939

p[196].x: 0.684	p[196].y: 3.015	p[196].z: 3.329
p[196].vx: 0.649	p[196].vy: 26.310	p[196].vz: 31.852

p[197].x: -1.718	p[197].y: -1.994	p[197].z: 1.729
p[197].vx: -26.736	p[197].vy: -31.535	p[197].vz: 28.060

p[198].x: 8.849	p[198].y: 1.643	p[198].z: -6.115
p[198].vx: 126.893	p[198].vy: 23.764	p[198].vz: -87.826

